Date and Time,sampling feature/location,citation," Barometric pressure -unit-kPa-processing level-L0",quality code,quality annotation,
2019-03-29 03:00:00," Quebrada Sonadora",,96.824,Good,,
2019-03-29 03:15:00," Quebrada Sonadora",,96.812,Good,,
2019-03-29 03:30:00," Quebrada Sonadora",,96.819,Good,,
2019-03-29 03:45:00," Quebrada Sonadora",,96.81,Good,,
2019-03-29 04:00:00," Quebrada Sonadora",,96.827,Good,,
2019-03-29 04:15:00," Quebrada Sonadora",,96.844,Good,,
2019-03-29 04:30:00," Quebrada Sonadora",,96.844,Good,,
2019-03-29 04:45:00," Quebrada Sonadora",,96.846,Good,,
2019-03-29 05:00:00," Quebrada Sonadora",,96.834,Good,,
2019-03-29 05:15:00," Quebrada Sonadora",,96.854,Good,,
2019-03-29 05:30:00," Quebrada Sonadora",,96.842,Good,,
2019-03-29 05:45:00," Quebrada Sonadora",,96.823,Good,,
2019-03-29 06:00:00," Quebrada Sonadora",,96.839,Good,,
2019-03-29 06:15:00," Quebrada Sonadora",,96.853,Good,,
2019-03-29 06:30:00," Quebrada Sonadora",,96.855,Good,,
2019-03-29 06:45:00," Quebrada Sonadora",,96.867,Good,,
2019-03-29 07:00:00," Quebrada Sonadora",,96.889,Good,,
2019-03-29 07:15:00," Quebrada Sonadora",,96.9,Good,,
2019-03-29 07:30:00," Quebrada Sonadora",,96.903,Good,,
2019-03-29 07:45:00," Quebrada Sonadora",,96.936,Good,,
2019-03-29 08:00:00," Quebrada Sonadora",,96.941,Good,,
2019-03-29 08:15:00," Quebrada Sonadora",,96.957,Good,,
2019-03-29 08:30:00," Quebrada Sonadora",,96.961,Good,,
2019-03-29 08:45:00," Quebrada Sonadora",,96.997,Good,,
2019-03-29 09:00:00," Quebrada Sonadora",,97.006,Good,,
2019-03-29 09:15:00," Quebrada Sonadora",,97.025,Good,,
2019-03-29 09:30:00," Quebrada Sonadora",,97.02,Good,,
2019-03-29 09:45:00," Quebrada Sonadora",,97.034,Good,,
2019-03-29 10:00:00," Quebrada Sonadora",,97.029,Good,,
2019-03-29 10:15:00," Quebrada Sonadora",,97.039,Good,,
2019-03-29 10:30:00," Quebrada Sonadora",,97.028,Good,,
2019-03-29 10:45:00," Quebrada Sonadora",,97.028,Good,,
2019-03-29 11:00:00," Quebrada Sonadora",,97.018,Good,,
2019-03-29 11:15:00," Quebrada Sonadora",,96.996,Good,,
2019-03-29 11:30:00," Quebrada Sonadora",,96.979,Good,,
2019-03-29 11:45:00," Quebrada Sonadora",,96.933,Good,,
2019-03-29 12:00:00," Quebrada Sonadora",,96.938,Good,,
2019-03-29 12:15:00," Quebrada Sonadora",,96.907,Good,,
2019-03-29 12:30:00," Quebrada Sonadora",,96.895,Good,,
2019-03-29 12:45:00," Quebrada Sonadora",,96.863,Good,,
2019-03-29 13:00:00," Quebrada Sonadora",,96.844,Good,,
2019-03-29 13:15:00," Quebrada Sonadora",,96.858,Good,,
2019-03-29 13:30:00," Quebrada Sonadora",,96.811,Good,,
2019-03-29 13:45:00," Quebrada Sonadora",,96.769,Good,,
2019-03-29 14:00:00," Quebrada Sonadora",,96.764,Good,,
2019-03-29 14:15:00," Quebrada Sonadora",,96.756,Good,,
2019-03-29 14:30:00," Quebrada Sonadora",,96.747,Good,,
2019-03-29 14:45:00," Quebrada Sonadora",,96.762,Good,,
2019-03-29 15:00:00," Quebrada Sonadora",,96.76,Good,,
2019-03-29 15:15:00," Quebrada Sonadora",,96.77,Good,,
2019-03-29 15:30:00," Quebrada Sonadora",,96.76,Good,,
2019-03-29 15:45:00," Quebrada Sonadora",,96.768,Good,,
2019-03-29 16:00:00," Quebrada Sonadora",,96.759,Good,,
2019-03-29 16:15:00," Quebrada Sonadora",,96.769,Good,,
2019-03-29 16:30:00," Quebrada Sonadora",,96.779,Good,,
2019-03-29 16:45:00," Quebrada Sonadora",,96.789,Good,,
2019-03-29 17:00:00," Quebrada Sonadora",,96.77,Good,,
2019-03-29 17:15:00," Quebrada Sonadora",,96.797,Good,,
2019-03-29 17:30:00," Quebrada Sonadora",,96.807,Good,,
2019-03-29 17:45:00," Quebrada Sonadora",,96.826,Good,,
2019-03-29 18:00:00," Quebrada Sonadora",,96.804,Good,,
2019-03-29 18:15:00," Quebrada Sonadora",,96.821,Good,,
2019-03-29 18:30:00," Quebrada Sonadora",,96.839,Good,,
2019-03-29 18:45:00," Quebrada Sonadora",,96.853,Good,,
2019-03-29 19:00:00," Quebrada Sonadora",,96.863,Good,,
2019-03-29 19:15:00," Quebrada Sonadora",,96.88,Good,,
2019-03-29 19:30:00," Quebrada Sonadora",,96.909,Good,,
2019-03-29 19:45:00," Quebrada Sonadora",,96.919,Good,,
2019-03-29 20:00:00," Quebrada Sonadora",,96.938,Good,,
2019-03-29 20:15:00," Quebrada Sonadora",,96.948,Good,,
2019-03-29 20:30:00," Quebrada Sonadora",,96.958,Good,,
2019-03-29 20:45:00," Quebrada Sonadora",,96.977,Good,,
2019-03-29 21:00:00," Quebrada Sonadora",,97.006,Good,,
2019-03-29 21:15:00," Quebrada Sonadora",,96.985,Good,,
2019-03-29 21:30:00," Quebrada Sonadora",,96.994,Good,,
2019-03-29 21:45:00," Quebrada Sonadora",,97.002,Good,,
2019-03-29 22:00:00," Quebrada Sonadora",,97.019,Good,,
2019-03-29 22:15:00," Quebrada Sonadora",,97.019,Good,,
2019-03-29 22:30:00," Quebrada Sonadora",,97.009,Good,,
2019-03-29 22:45:00," Quebrada Sonadora",,97.019,Good,,
2019-03-29 23:00:00," Quebrada Sonadora",,97.007,Good,,
2019-03-29 23:15:00," Quebrada Sonadora",,97.007,Good,,
2019-03-29 23:30:00," Quebrada Sonadora",,96.988,Good,,
2019-03-29 23:45:00," Quebrada Sonadora",,96.985,Good,,
2019-03-30 00:00:00," Quebrada Sonadora",,96.976,Good,,
2019-03-30 00:15:00," Quebrada Sonadora",,96.959,Good,,
2019-03-30 00:30:00," Quebrada Sonadora",,96.949,Good,,
2019-03-30 00:45:00," Quebrada Sonadora",,96.939,Good,,
2019-03-30 01:00:00," Quebrada Sonadora",,96.91,Good,,
2019-03-30 01:15:00," Quebrada Sonadora",,96.9,Good,,
2019-03-30 01:30:00," Quebrada Sonadora",,96.881,Good,,
2019-03-30 01:45:00," Quebrada Sonadora",,96.869,Good,,
2019-03-30 02:00:00," Quebrada Sonadora",,96.86,Good,,
2019-03-30 02:15:00," Quebrada Sonadora",,96.857,Good,,
2019-03-30 02:30:00," Quebrada Sonadora",,96.845,Good,,
2019-03-30 02:45:00," Quebrada Sonadora",,96.831,Good,,
2019-03-30 03:00:00," Quebrada Sonadora",,96.8,Good,,
2019-03-30 03:15:00," Quebrada Sonadora",,96.808,Good,,
2019-03-30 03:30:00," Quebrada Sonadora",,96.808,Good,,
2019-03-30 03:45:00," Quebrada Sonadora",,96.81,Good,,
2019-03-30 04:00:00," Quebrada Sonadora",,96.8,Good,,
2019-03-30 04:15:00," Quebrada Sonadora",,96.793,Good,,
2019-03-30 04:30:00," Quebrada Sonadora",,96.8,Good,,
2019-03-30 04:45:00," Quebrada Sonadora",,96.8,Good,,
2019-03-30 05:00:00," Quebrada Sonadora",,96.808,Good,,
2019-03-30 05:15:00," Quebrada Sonadora",,96.817,Good,,
2019-03-30 05:30:00," Quebrada Sonadora",,96.844,Good,,
2019-03-30 05:45:00," Quebrada Sonadora",,96.869,Good,,
2019-03-30 06:00:00," Quebrada Sonadora",,96.857,Good,,
2019-03-30 06:15:00," Quebrada Sonadora",,96.874,Good,,
2019-03-30 06:30:00," Quebrada Sonadora",,96.894,Good,,
2019-03-30 06:45:00," Quebrada Sonadora",,96.901,Good,,
2019-03-30 07:00:00," Quebrada Sonadora",,96.913,Good,,
2019-03-30 07:15:00," Quebrada Sonadora",,96.944,Good,,
2019-03-30 07:30:00," Quebrada Sonadora",,96.975,Good,,
2019-03-30 07:45:00," Quebrada Sonadora",,96.975,Good,,
2019-03-30 08:00:00," Quebrada Sonadora",,97.009,Good,,
2019-03-30 08:15:00," Quebrada Sonadora",,97.032,Good,,
2019-03-30 08:30:00," Quebrada Sonadora",,97.058,Good,,
2019-03-30 08:45:00," Quebrada Sonadora",,97.058,Good,,
2019-03-30 09:00:00," Quebrada Sonadora",,97.072,Good,,
2019-03-30 09:15:00," Quebrada Sonadora",,97.064,Good,,
2019-03-30 09:30:00," Quebrada Sonadora",,97.081,Good,,
2019-03-30 09:45:00," Quebrada Sonadora",,97.119,Good,,
2019-03-30 10:00:00," Quebrada Sonadora",,97.101,Good,,
2019-03-30 10:15:00," Quebrada Sonadora",,97.105,Good,,
2019-03-30 10:30:00," Quebrada Sonadora",,97.105,Good,,
2019-03-30 10:45:00," Quebrada Sonadora",,97.107,Good,,
2019-03-30 11:00:00," Quebrada Sonadora",,97.097,Good,,
2019-03-30 11:15:00," Quebrada Sonadora",,97.092,Good,,
2019-03-30 11:30:00," Quebrada Sonadora",,97.072,Good,,
2019-03-30 11:45:00," Quebrada Sonadora",,97.045,Good,,
2019-03-30 12:00:00," Quebrada Sonadora",,97.025,Good,,
2019-03-30 12:15:00," Quebrada Sonadora",,96.994,Good,,
2019-03-30 12:30:00," Quebrada Sonadora",,96.996,Good,,
2019-03-30 12:45:00," Quebrada Sonadora",,96.982,Good,,
2019-03-30 13:00:00," Quebrada Sonadora",,96.955,Good,,
2019-03-30 13:15:00," Quebrada Sonadora",,96.939,Good,,
2019-03-30 13:30:00," Quebrada Sonadora",,96.925,Good,,
2019-03-30 13:45:00," Quebrada Sonadora",,96.908,Good,,
2019-03-30 14:00:00," Quebrada Sonadora",,96.895,Good,,
2019-03-30 14:15:00," Quebrada Sonadora",,96.847,Good,,
2019-03-30 14:30:00," Quebrada Sonadora",,96.825,Good,,
2019-03-30 14:45:00," Quebrada Sonadora",,96.833,Good,,
2019-03-30 15:00:00," Quebrada Sonadora",,96.81,Good,,
2019-03-30 15:15:00," Quebrada Sonadora",,96.809,Good,,
2019-03-30 15:30:00," Quebrada Sonadora",,96.771,Good,,
2019-03-30 15:45:00," Quebrada Sonadora",,96.76,Good,,
2019-03-30 16:00:00," Quebrada Sonadora",,96.761,Good,,
2019-03-30 16:15:00," Quebrada Sonadora",,96.756,Good,,
2019-03-30 16:30:00," Quebrada Sonadora",,96.766,Good,,
2019-03-30 16:45:00," Quebrada Sonadora",,96.781,Good,,
2019-03-30 17:00:00," Quebrada Sonadora",,96.8,Good,,
