Date and Time,sampling feature/location,citation," discharge -unit-cfs-processing level-L0",quality code,quality annotation,
2019-03-29 03:00:00," Quebrada Sonadora",,6.17842040950626,Good,,
2019-03-29 03:15:00," Quebrada Sonadora",,6.15263510304999,Good,,
2019-03-29 03:30:00," Quebrada Sonadora",,6.22706434504897,Good,,
2019-03-29 03:45:00," Quebrada Sonadora",,6.25643710593931,Good,,
2019-03-29 04:00:00," Quebrada Sonadora",,6.25643710593943,Good,,
2019-03-29 04:15:00," Quebrada Sonadora",,6.16873805910353,Good,,
2019-03-29 04:30:00," Quebrada Sonadora",,6.1365749425554,Good,,
2019-03-29 04:45:00," Quebrada Sonadora",,6.13016284232253,Good,,
2019-03-29 05:00:00," Quebrada Sonadora",,6.20107269350717,Good,,
2019-03-29 05:15:00," Quebrada Sonadora",,6.16873805910353,Good,,
2019-03-29 05:30:00," Quebrada Sonadora",,6.17519124307483,Good,,
2019-03-29 05:45:00," Quebrada Sonadora",,6.23683969577877,Good,,
2019-03-29 06:00:00," Quebrada Sonadora",,6.17519124307483,Good,,
2019-03-29 06:15:00," Quebrada Sonadora",,6.19459201297502,Good,,
2019-03-29 06:30:00," Quebrada Sonadora",,6.15585226793132,Good,,
2019-03-29 06:45:00," Quebrada Sonadora",,6.2140547226507,Good,,
2019-03-29 07:00:00," Quebrada Sonadora",,6.14299387665511,Good,,
2019-03-29 07:15:00," Quebrada Sonadora",,6.17196379316442,Good,,
2019-03-29 07:30:00," Quebrada Sonadora",,6.19459201297502,Good,,
2019-03-29 07:45:00," Quebrada Sonadora",,6.12055749373206,Good,,
2019-03-29 08:00:00," Quebrada Sonadora",,6.16873805910353,Good,,
2019-03-29 08:15:00," Quebrada Sonadora",,6.14620590808295,Good,,
2019-03-29 08:30:00," Quebrada Sonadora",,6.19783149263077,Good,,
2019-03-29 08:45:00," Quebrada Sonadora",,6.14620590808295,Good,,
2019-03-29 09:00:00," Quebrada Sonadora",,6.14941964999088,Good,,
2019-03-29 09:15:00," Quebrada Sonadora",,6.0347977534459,Good,,
2019-03-29 09:30:00," Quebrada Sonadora",,6.05058600820286,Good,,
2019-03-29 09:45:00," Quebrada Sonadora",,6.06958770307131,Good,,
2019-03-29 10:00:00," Quebrada Sonadora",,6.08546903810048,Good,,
2019-03-29 10:15:00," Quebrada Sonadora",,6.09183345154952,Good,,
2019-03-29 10:30:00," Quebrada Sonadora",,6.06324703441396,Good,,
2019-03-29 10:45:00," Quebrada Sonadora",,6.00962423525789,Good,,
2019-03-29 11:00:00," Quebrada Sonadora",,6.06007923997902,Good,,
2019-03-29 11:15:00," Quebrada Sonadora",,6.07593514924895,Good,,
2019-03-29 11:30:00," Quebrada Sonadora",,6.04426563992149,Good,,
2019-03-29 11:45:00," Quebrada Sonadora",,6.11096749114881,Good,,
2019-03-29 12:00:00," Quebrada Sonadora",,6.07276057863481,Good,,
2019-03-29 12:15:00," Quebrada Sonadora",,6.08546903810048,Good,,
2019-03-29 12:30:00," Quebrada Sonadora",,6.10139281645871,Good,,
2019-03-29 12:45:00," Quebrada Sonadora",,6.08546903810077,Good,,
2019-03-29 13:00:00," Quebrada Sonadora",,6.06958770307142,Good,,
2019-03-29 13:15:00," Quebrada Sonadora",,5.98143265595002,Good,,
2019-03-29 13:30:00," Quebrada Sonadora",,6.0347977534459,Good,,
2019-03-29 13:45:00," Quebrada Sonadora",,6.07276057863481,Good,,
2019-03-29 14:00:00," Quebrada Sonadora",,6.07911141558407,Good,,
2019-03-29 14:15:00," Quebrada Sonadora",,6.0664165218879,Good,,
2019-03-29 14:30:00," Quebrada Sonadora",,6.14941964999088,Good,,
2019-03-29 14:45:00," Quebrada Sonadora",,6.13336803854099,Good,,
