Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-03-29 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 05:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 06:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-29 06:15:00," Quebrada Sonadora",,10.8,Good,,
2019-03-29 06:30:00," Quebrada Sonadora",,150.7,Good,,
2019-03-29 06:45:00," Quebrada Sonadora",,301.4,Good,,
2019-03-29 07:00:00," Quebrada Sonadora",,366.0,Good,,
2019-03-29 07:15:00," Quebrada Sonadora",,495.1,Good,,
2019-03-29 07:30:00," Quebrada Sonadora",,1162.5,Good,,
2019-03-29 07:45:00," Quebrada Sonadora",,1722.2,Good,,
2019-03-29 08:00:00," Quebrada Sonadora",,2066.7,Good,,
2019-03-29 08:15:00," Quebrada Sonadora",,2755.6,Good,,
2019-03-29 08:30:00," Quebrada Sonadora",,3444.5,Good,,
2019-03-29 08:45:00," Quebrada Sonadora",,4305.6,Good,,
2019-03-29 09:00:00," Quebrada Sonadora",,5338.9,Good,,
2019-03-29 09:15:00," Quebrada Sonadora",,5166.7,Good,,
2019-03-29 09:30:00," Quebrada Sonadora",,4650.0,Good,,
2019-03-29 09:45:00," Quebrada Sonadora",,6200.0,Good,,
2019-03-29 10:00:00," Quebrada Sonadora",,3444.5,Good,,
2019-03-29 10:15:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-29 10:30:00," Quebrada Sonadora",,14466.8,Good,,
2019-03-29 10:45:00," Quebrada Sonadora",,13777.9,Good,,
2019-03-29 11:00:00," Quebrada Sonadora",,13777.9,Good,,
2019-03-29 11:15:00," Quebrada Sonadora",,16533.4,Good,,
2019-03-29 11:30:00," Quebrada Sonadora",,12400.1,Good,,
2019-03-29 11:45:00," Quebrada Sonadora",,9300.1,Good,,
2019-03-29 12:00:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-29 12:15:00," Quebrada Sonadora",,10333.4,Good,,
2019-03-29 12:30:00," Quebrada Sonadora",,24800.2,Good,,
2019-03-29 12:45:00," Quebrada Sonadora",,26178.0,Good,,
2019-03-29 13:00:00," Quebrada Sonadora",,15844.5,Good,,
