Date and Time,sampling feature/location,citation," Barometric pressure -unit-kPa-processing level-L0",quality code,quality annotation,
2019-06-17 01:00:00," Quebrada Sonadora",,97.2,Good,,
2019-06-17 01:15:00," Quebrada Sonadora",,97.18,Good,,
2019-06-17 01:30:00," Quebrada Sonadora",,97.18,Good,,
2019-06-17 01:45:00," Quebrada Sonadora",,97.19,Good,,
2019-06-17 02:00:00," Quebrada Sonadora",,97.18,Good,,
2019-06-17 02:15:00," Quebrada Sonadora",,97.209,Good,,
2019-06-17 02:30:00," Quebrada Sonadora",,97.19,Good,,
2019-06-17 02:45:00," Quebrada Sonadora",,97.19,Good,,
2019-06-17 03:00:00," Quebrada Sonadora",,97.171,Good,,
2019-06-17 03:15:00," Quebrada Sonadora",,97.149,Good,,
2019-06-17 03:30:00," Quebrada Sonadora",,97.147,Good,,
2019-06-17 03:45:00," Quebrada Sonadora",,97.156,Good,,
2019-06-17 04:00:00," Quebrada Sonadora",,97.147,Good,,
2019-06-17 04:15:00," Quebrada Sonadora",,97.166,Good,,
2019-06-17 04:30:00," Quebrada Sonadora",,97.156,Good,,
2019-06-17 04:45:00," Quebrada Sonadora",,97.159,Good,,
2019-06-17 05:00:00," Quebrada Sonadora",,97.166,Good,,
2019-06-17 05:15:00," Quebrada Sonadora",,97.173,Good,,
2019-06-17 05:30:00," Quebrada Sonadora",,97.185,Good,,
2019-06-17 05:45:00," Quebrada Sonadora",,97.185,Good,,
2019-06-17 06:00:00," Quebrada Sonadora",,97.185,Good,,
2019-06-17 06:15:00," Quebrada Sonadora",,97.205,Good,,
2019-06-17 06:30:00," Quebrada Sonadora",,97.205,Good,,
2019-06-17 06:45:00," Quebrada Sonadora",,97.222,Good,,
2019-06-17 07:00:00," Quebrada Sonadora",,97.251,Good,,
2019-06-17 07:15:00," Quebrada Sonadora",,97.241,Good,,
2019-06-17 07:30:00," Quebrada Sonadora",,97.253,Good,,
2019-06-17 07:45:00," Quebrada Sonadora",,97.248,Good,,
2019-06-17 08:00:00," Quebrada Sonadora",,97.267,Good,,
2019-06-17 08:15:00," Quebrada Sonadora",,97.245,Good,,
2019-06-17 08:30:00," Quebrada Sonadora",,97.252,Good,,
2019-06-17 08:45:00," Quebrada Sonadora",,97.276,Good,,
2019-06-17 09:00:00," Quebrada Sonadora",,97.288,Good,,
2019-06-17 09:15:00," Quebrada Sonadora",,97.29,Good,,
2019-06-17 09:30:00," Quebrada Sonadora",,97.305,Good,,
2019-06-17 09:45:00," Quebrada Sonadora",,97.324,Good,,
2019-06-17 10:00:00," Quebrada Sonadora",,97.324,Good,,
2019-06-17 10:15:00," Quebrada Sonadora",,97.35,Good,,
2019-06-17 10:30:00," Quebrada Sonadora",,97.355,Good,,
2019-06-17 10:45:00," Quebrada Sonadora",,97.362,Good,,
2019-06-17 11:00:00," Quebrada Sonadora",,97.358,Good,,
2019-06-17 11:15:00," Quebrada Sonadora",,97.345,Good,,
2019-06-17 11:30:00," Quebrada Sonadora",,97.324,Good,,
2019-06-17 11:45:00," Quebrada Sonadora",,97.331,Good,,
2019-06-17 12:00:00," Quebrada Sonadora",,97.314,Good,,
2019-06-17 12:15:00," Quebrada Sonadora",,97.312,Good,,
2019-06-17 12:30:00," Quebrada Sonadora",,97.314,Good,,
2019-06-17 12:45:00," Quebrada Sonadora",,97.322,Good,,
2019-06-17 13:00:00," Quebrada Sonadora",,97.317,Good,,
2019-06-17 13:15:00," Quebrada Sonadora",,97.288,Good,,
2019-06-17 13:30:00," Quebrada Sonadora",,97.295,Good,,
2019-06-17 13:45:00," Quebrada Sonadora",,97.281,Good,,
2019-06-17 14:00:00," Quebrada Sonadora",,97.271,Good,,
2019-06-17 14:15:00," Quebrada Sonadora",,97.255,Good,,
2019-06-17 14:30:00," Quebrada Sonadora",,97.267,Good,,
2019-06-17 14:45:00," Quebrada Sonadora",,97.263,Good,,
2019-06-17 15:00:00," Quebrada Sonadora",,97.249,Good,,
2019-06-17 15:15:00," Quebrada Sonadora",,97.255,Good,,
2019-06-17 15:30:00," Quebrada Sonadora",,97.246,Good,,
2019-06-17 15:45:00," Quebrada Sonadora",,97.246,Good,,
2019-06-17 16:00:00," Quebrada Sonadora",,97.252,Good,,
2019-06-17 16:15:00," Quebrada Sonadora",,97.249,Good,,
2019-06-17 16:30:00," Quebrada Sonadora",,97.228,Good,,
2019-06-17 16:45:00," Quebrada Sonadora",,97.219,Good,,
2019-06-17 17:00:00," Quebrada Sonadora",,97.233,Good,,
2019-06-17 17:15:00," Quebrada Sonadora",,97.218,Good,,
2019-06-17 17:30:00," Quebrada Sonadora",,97.237,Good,,
2019-06-17 17:45:00," Quebrada Sonadora",,97.244,Good,,
2019-06-17 18:00:00," Quebrada Sonadora",,97.263,Good,,
2019-06-17 18:15:00," Quebrada Sonadora",,97.251,Good,,
2019-06-17 18:30:00," Quebrada Sonadora",,97.251,Good,,
2019-06-17 18:45:00," Quebrada Sonadora",,97.278,Good,,
2019-06-17 19:00:00," Quebrada Sonadora",,97.266,Good,,
2019-06-17 19:15:00," Quebrada Sonadora",,97.278,Good,,
2019-06-17 19:30:00," Quebrada Sonadora",,97.292,Good,,
2019-06-17 19:45:00," Quebrada Sonadora",,97.29,Good,,
2019-06-17 20:00:00," Quebrada Sonadora",,97.297,Good,,
2019-06-17 20:15:00," Quebrada Sonadora",,97.322,Good,,
2019-06-17 20:30:00," Quebrada Sonadora",,97.319,Good,,
2019-06-17 20:45:00," Quebrada Sonadora",,97.358,Good,,
2019-06-17 21:00:00," Quebrada Sonadora",,97.358,Good,,
2019-06-17 21:15:00," Quebrada Sonadora",,97.375,Good,,
2019-06-17 21:30:00," Quebrada Sonadora",,97.365,Good,,
2019-06-17 21:45:00," Quebrada Sonadora",,97.395,Good,,
2019-06-17 22:00:00," Quebrada Sonadora",,97.392,Good,,
2019-06-17 22:15:00," Quebrada Sonadora",,97.409,Good,,
2019-06-17 22:30:00," Quebrada Sonadora",,97.378,Good,,
2019-06-17 22:45:00," Quebrada Sonadora",,97.356,Good,,
2019-06-17 23:00:00," Quebrada Sonadora",,97.354,Good,,
2019-06-17 23:15:00," Quebrada Sonadora",,97.354,Good,,
2019-06-17 23:30:00," Quebrada Sonadora",,97.344,Good,,
2019-06-17 23:45:00," Quebrada Sonadora",,97.322,Good,,
2019-06-18 00:00:00," Quebrada Sonadora",,97.301,Good,,
2019-06-18 00:15:00," Quebrada Sonadora",,97.313,Good,,
2019-06-18 00:30:00," Quebrada Sonadora",,97.301,Good,,
2019-06-18 00:45:00," Quebrada Sonadora",,97.291,Good,,
2019-06-18 01:00:00," Quebrada Sonadora",,97.272,Good,,
