Date and Time,sampling feature/location,citation," Stage Height -unit-CM-processing level-L1 passed QAQC",quality code,quality annotation,
2019-03-29 03:01:15," Quebrada Sonadora",,12.09744,Good,,
2019-03-29 03:16:15," Quebrada Sonadora",,12.05656,Good,,
2019-03-29 03:31:14," Quebrada Sonadora",,12.08152,Good,,
2019-03-29 03:46:15," Quebrada Sonadora",,12.04353,Good,,
2019-03-29 04:01:15," Quebrada Sonadora",,12.06502,Good,,
2019-03-29 04:16:15," Quebrada Sonadora",,12.00751,Good,,
2019-03-29 04:31:14," Quebrada Sonadora",,12.018,Good,,
2019-03-29 04:46:15," Quebrada Sonadora",,11.93788,Good,,
2019-03-29 05:01:15," Quebrada Sonadora",,11.94227,Good,,
2019-03-29 05:16:15," Quebrada Sonadora",,12.01711,Good,,
2019-03-29 05:31:14," Quebrada Sonadora",,12.01617,Good,,
2019-03-29 05:46:15," Quebrada Sonadora",,12.00334,Good,,
2019-03-29 06:01:15," Quebrada Sonadora",,12.02824,Good,,
2019-03-29 06:16:15," Quebrada Sonadora",,11.96245,Good,,
2019-03-29 06:31:14," Quebrada Sonadora",,11.93154,Good,,
2019-03-29 06:46:15," Quebrada Sonadora",,11.92798,Good,,
2019-03-29 07:01:15," Quebrada Sonadora",,11.98086,Good,,
2019-03-29 07:16:15," Quebrada Sonadora",,11.92578,Good,,
2019-03-29 07:31:14," Quebrada Sonadora",,11.98037,Good,,
2019-03-29 07:46:15," Quebrada Sonadora",,11.94275,Good,,
2019-03-29 08:01:15," Quebrada Sonadora",,12.00238,Good,,
2019-03-29 08:16:15," Quebrada Sonadora",,12.03376,Good,,
2019-03-29 08:31:14," Quebrada Sonadora",,12.03542,Good,,
2019-03-29 08:46:15," Quebrada Sonadora",,12.02429,Good,,
2019-03-29 09:01:15," Quebrada Sonadora",,11.94606,Good,,
2019-03-29 09:16:15," Quebrada Sonadora",,11.93572,Good,,
2019-03-29 09:31:14," Quebrada Sonadora",,11.95751,Good,,
2019-03-29 09:46:15," Quebrada Sonadora",,11.95841,Good,,
2019-03-29 10:01:15," Quebrada Sonadora",,11.93446,Good,,
2019-03-29 10:16:15," Quebrada Sonadora",,11.97462,Good,,
2019-03-29 10:31:14," Quebrada Sonadora",,11.97474,Good,,
2019-03-29 10:46:15," Quebrada Sonadora",,11.85338,Good,,
2019-03-29 11:01:15," Quebrada Sonadora",,11.8044,Good,,
2019-03-29 11:16:15," Quebrada Sonadora",,11.84703,Good,,
2019-03-29 11:31:14," Quebrada Sonadora",,11.82748,Good,,
2019-03-29 11:46:15," Quebrada Sonadora",,11.80558,Good,,
2019-03-29 12:01:15," Quebrada Sonadora",,11.85942,Good,,
2019-03-29 12:16:15," Quebrada Sonadora",,11.84647,Good,,
2019-03-29 12:31:14," Quebrada Sonadora",,11.84179,Good,,
2019-03-29 12:46:15," Quebrada Sonadora",,11.86248,Good,,
2019-03-29 13:01:15," Quebrada Sonadora",,11.94864,Good,,
