Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-06-17 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-17 05:45:00," Quebrada Sonadora",,53.8,Good,,
2019-06-17 06:00:00," Quebrada Sonadora",,387.5,Good,,
2019-06-17 06:15:00," Quebrada Sonadora",,452.1,Good,,
2019-06-17 06:30:00," Quebrada Sonadora",,699.7,Good,,
2019-06-17 06:45:00," Quebrada Sonadora",,624.3,Good,,
2019-06-17 07:00:00," Quebrada Sonadora",,764.2,Good,,
2019-06-17 07:15:00," Quebrada Sonadora",,1463.9,Good,,
2019-06-17 07:30:00," Quebrada Sonadora",,1808.3,Good,,
2019-06-17 07:45:00," Quebrada Sonadora",,4477.8,Good,,
2019-06-17 08:00:00," Quebrada Sonadora",,3444.5,Good,,
2019-06-17 08:15:00," Quebrada Sonadora",,4477.8,Good,,
2019-06-17 08:30:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-17 08:45:00," Quebrada Sonadora",,3100.0,Good,,
2019-06-17 09:00:00," Quebrada Sonadora",,3616.7,Good,,
2019-06-17 09:15:00," Quebrada Sonadora",,4133.4,Good,,
2019-06-17 09:30:00," Quebrada Sonadora",,5511.1,Good,,
2019-06-17 09:45:00," Quebrada Sonadora",,6544.5,Good,,
2019-06-17 10:00:00," Quebrada Sonadora",,7233.4,Good,,
2019-06-17 10:15:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-17 10:30:00," Quebrada Sonadora",,6200.0,Good,,
2019-06-17 10:45:00," Quebrada Sonadora",,8266.7,Good,,
2019-06-17 11:00:00," Quebrada Sonadora",,6200.0,Good,,
2019-06-17 11:15:00," Quebrada Sonadora",,6544.5,Good,,
2019-06-17 11:30:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-17 11:45:00," Quebrada Sonadora",,9644.5,Good,,
2019-06-17 12:00:00," Quebrada Sonadora",,46844.8,Good,,
2019-06-17 12:15:00," Quebrada Sonadora",,17911.2,Good,,
